"Method","Ontology","Term_ID","Term_Description","Annotated","Significant","Expected","p_value"
"topGO","Gene Ontology (BP)","GO:0061734","type 2 mitophagy",17,10,4.8,0.00798
"topGO","Gene Ontology (BP)","GO:0071732","cellular response to nitric oxide",17,10,4.8,0.00798
"topGO","Gene Ontology (BP)","GO:0009144","purine nucleoside triphosphate metabolic...",287,100,80.99,0.00816
"topGO","Gene Ontology (BP)","GO:0031424","keratinization",80,33,22.58,0.00824
"topGO","Gene Ontology (BP)","GO:0010959","regulation of metal ion transport",429,144,121.07,0.0083
"topGO","Gene Ontology (BP)","GO:0046034","ATP metabolic process",256,90,72.25,0.00895
"topGO","Gene Ontology (BP)","GO:0019730","antimicrobial humoral response",178,65,50.23,0.00971
"topGO","Gene Ontology (BP)","GO:0051412","response to corticosterone",25,13,7.06,0.01022
"topGO","Gene Ontology (BP)","GO:0006936","muscle contraction",386,130,108.93,0.01036
"topGO","Gene Ontology (BP)","GO:0051924","regulation of calcium ion transport",283,98,79.86,0.01055
"topGO","Gene Ontology (BP)","GO:0097154","GABAergic neuron differentiation",20,11,5.64,0.01059
"topGO","Gene Ontology (BP)","GO:0006959","humoral immune response",290,100,81.84,0.01123
"topGO","Gene Ontology (BP)","GO:0009152","purine ribonucleotide biosynthetic proce...",173,63,48.82,0.01148
"topGO","Gene Ontology (BP)","GO:0002227","innate immune response in mucosa",36,17,10.16,0.01179
"topGO","Gene Ontology (BP)","GO:0010629","negative regulation of gene expression",1592,489,449.27,0.01228
"topGO","Gene Ontology (BP)","GO:0090281","negative regulation of calcium ion impor...",13,8,3.67,0.01238
"topGO","Gene Ontology (BP)","GO:0098900","regulation of action potential",82,33,23.14,0.01254
"topGO","Gene Ontology (BP)","GO:0042756","drinking behavior",26,13,7.34,0.01523
"topGO","Gene Ontology (BP)","GO:1903367","positive regulation of fear response",11,7,3.1,0.01527
"topGO","Gene Ontology (BP)","GO:1990034","calcium ion export across plasma membran...",11,7,3.1,0.01527
"topGO","Gene Ontology (BP)","GO:0061844","antimicrobial humoral immune response me...",135,50,38.1,0.01606
"topGO","Gene Ontology (BP)","GO:0071361","cellular response to ethanol",37,17,10.44,0.01617
"topGO","Gene Ontology (BP)","GO:1902600","proton transmembrane transport",160,58,45.15,0.01634
"topGO","Gene Ontology (BP)","GO:0008038","neuron recognition",54,23,15.24,0.01642
"topGO","Gene Ontology (BP)","GO:0060074","synapse maturation",54,23,15.24,0.01642
"topGO","Gene Ontology (BP)","GO:1904064","positive regulation of cation transmembr...",157,57,44.31,0.01662
"topGO","Gene Ontology (BP)","GO:0071222","cellular response to lipopolysaccharide",307,104,86.64,0.01687
"topGO","Gene Ontology (BP)","GO:2000822","regulation of behavioral fear response",16,9,4.52,0.01712
"topGO","Gene Ontology (BP)","GO:0009141","nucleoside triphosphate metabolic proces...",304,103,85.79,0.01725
"topGO","Gene Ontology (BP)","GO:0060997","dendritic spine morphogenesis",84,33,23.71,0.01851
"topGO","Gene Ontology (BP)","GO:1902905","positive regulation of supramolecular fi...",183,65,51.64,0.01857
"topGO","Gene Ontology (BP)","GO:0007218","neuropeptide signaling pathway",118,44,33.3,0.02018
"topGO","Gene Ontology (BP)","GO:1902170","cellular response to reactive nitrogen s...",19,10,5.36,0.02132
"topGO","Gene Ontology (BP)","GO:0015671","oxygen transport",14,8,3.95,0.02181
"topGO","Gene Ontology (BP)","GO:0048672","positive regulation of collateral sprout...",14,8,3.95,0.02181
"topGO","Gene Ontology (BP)","GO:1903999","negative regulation of eating behavior",14,8,3.95,0.02181
"topGO","Gene Ontology (BP)","GO:0061001","regulation of dendritic spine morphogene...",67,27,18.91,0.02205
"topGO","Gene Ontology (BP)","GO:0051926","negative regulation of calcium ion trans...",70,28,19.75,0.02219
"topGO","Gene Ontology (BP)","GO:0010469","regulation of signaling receptor activit...",79,31,22.29,0.02233
"topGO","Gene Ontology (BP)","GO:0097061","dendritic spine organization",119,44,33.58,0.02347
"topGO","Gene Ontology (BP)","GO:0051146","striated muscle cell differentiation",406,133,114.58,0.02427
"topGO","Gene Ontology (BP)","GO:0046827","positive regulation of protein export fr...",22,11,6.21,0.02494
"topGO","Gene Ontology (BP)","GO:0042742","defense response to bacterium",413,135,116.55,0.02504
"topGO","Gene Ontology (BP)","GO:0021549","cerebellum development",132,48,37.25,0.02543
"topGO","Gene Ontology (BP)","GO:0071219","cellular response to molecule of bacteri...",315,105,88.9,0.02596
"topGO","Gene Ontology (BP)","GO:1903365","regulation of fear response",17,9,4.8,0.0274
"topGO","Gene Ontology (BP)","GO:1905664","regulation of calcium ion import across ...",17,9,4.8,0.0274
"topGO","Gene Ontology (BP)","GO:0034767","positive regulation of monoatomic ion tr...",180,63,50.8,0.02764
"topGO","Gene Ontology (BP)","GO:0021892","cerebral cortex GABAergic interneuron di...",12,7,3.39,0.02781
"topGO","Gene Ontology (BP)","GO:0045759","negative regulation of action potential",12,7,3.39,0.02781
"topGO","Gene Ontology (BP)","GO:0061303","cornea development in camera-type eye",12,7,3.39,0.02781
"topGO","Gene Ontology (BP)","GO:1902667","regulation of axon guidance",12,7,3.39,0.02781
"topGO","Gene Ontology (BP)","GO:0051673","disruption of plasma membrane integrity ...",25,12,7.06,0.028
"topGO","Gene Ontology (BP)","GO:0140975","disruption of cellular anatomical struct...",25,12,7.06,0.028
"topGO","Gene Ontology (BP)","GO:1900452","regulation of long-term synaptic depress...",25,12,7.06,0.028
"topGO","Gene Ontology (BP)","GO:0043627","response to estrogen",108,40,30.48,0.02885
"topGO","Gene Ontology (BP)","GO:0099010","modification of postsynaptic structure",54,22,15.24,0.0321
"topGO","Gene Ontology (BP)","GO:1901379","regulation of potassium ion transmembran...",72,28,20.32,0.03257
"topGO","Gene Ontology (BP)","GO:0002329","pre-B cell differentiation",15,8,4.23,0.03535
"topGO","Gene Ontology (BP)","GO:0038020","insulin receptor recycling",15,8,4.23,0.03535
"topGO","Gene Ontology (BP)","GO:1905274","regulation of modification of postsynapt...",15,8,4.23,0.03535
"topGO","Gene Ontology (BP)","GO:0021826","substrate-independent telencephalic tang...",10,6,2.82,0.03547
"topGO","Gene Ontology (BP)","GO:0021843","substrate-independent telencephalic tang...",10,6,2.82,0.03547
"topGO","Gene Ontology (BP)","GO:0035332","positive regulation of hippo signaling",23,11,6.49,0.03586
"topGO","Gene Ontology (BP)","GO:0032273","positive regulation of protein polymeriz...",94,35,26.53,0.03606
"topGO","Gene Ontology (BP)","GO:0043269","regulation of monoatomic ion transport",528,168,149.01,0.03637
"topGO","Gene Ontology (BP)","GO:0051209","release of sequestered calcium ion into ...",129,46,36.4,0.03939
"topGO","Gene Ontology (BP)","GO:0060412","ventricular septum morphogenesis",52,21,14.67,0.03939
"topGO","Gene Ontology (BP)","GO:0050850","positive regulation of calcium-mediated ...",64,25,18.06,0.03963
"topGO","Gene Ontology (BP)","GO:0006396","RNA processing",2700,1384,761.96,NA
"topGO","Gene Ontology (BP)","GO:0022618","protein-RNA complex assembly",890,534,251.16,NA
"topGO","Gene Ontology (BP)","GO:0071826","protein-RNA complex organization",899,535,253.7,NA
"topGO","Gene Ontology (BP)","GO:0000244","spliceosomal tri-snRNP complex assembly",519,359,146.47,NA
"topGO","Gene Ontology (BP)","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP",483,340,136.31,NA
"topGO","Gene Ontology (BP)","GO:0000365","mRNA trans splicing, via spliceosome",483,340,136.31,NA
"topGO","Gene Ontology (BP)","GO:0045291","mRNA trans splicing, SL addition",483,340,136.31,NA
"topGO","Gene Ontology (BP)","GO:0000387","spliceosomal snRNP assembly",543,367,153.24,NA
"topGO","Gene Ontology (BP)","GO:0000377","RNA splicing, via transesterification re...",1015,564,286.44,NA
"topGO","Gene Ontology (BP)","GO:0000398","mRNA splicing, via spliceosome",1015,564,286.44,NA
"topGO","Gene Ontology (BP)","GO:0000375","RNA splicing, via transesterification re...",1016,564,286.72,NA
"topGO","Gene Ontology (BP)","GO:0022613","ribonucleoprotein complex biogenesis",1155,596,325.95,NA
