"Method","Ontology","Term_ID","Term_Description","Annotated","Significant","Expected","p_value","p.adjust","qvalue","geneID","Count"
"clusterProfiler","Gene Ontology (BP)","GO:0021549","cerebellum development",132,3,0.23,0.00158501840450346,0.0375750064296877,0.0269693146191165,"Prox1/Cntnap2/Map2k1",3
"clusterProfiler","Gene Ontology (BP)","GO:0098659","inorganic cation import across plasma membrane",132,3,0.23,0.00158501840450346,0.0375750064296877,0.0269693146191165,"Atp1a1/Slc8a1/Ppp3ca",3
"clusterProfiler","Gene Ontology (BP)","GO:0099587","inorganic ion import across plasma membrane",132,3,0.23,0.00158501840450346,0.0375750064296877,0.0269693146191165,"Atp1a1/Slc8a1/Ppp3ca",3
"clusterProfiler","Gene Ontology (BP)","GO:0021697","cerebellar cortex formation",34,2,0.06,0.00161179652245309,0.0375750064296877,0.0269693146191165,"Prox1/Map2k1",2
"clusterProfiler","Gene Ontology (BP)","GO:0021761","limbic system development",138,3,0.24,0.00179985960956822,0.0411029163899355,0.0295014582620957,"Prox1/Cntnap2/Ywhae",3
"clusterProfiler","Gene Ontology (BP)","GO:1902473","regulation of protein localization to synapse",37,2,0.06,0.00190714027635551,0.0426817993848363,0.0306346953865106,"Olfm1/Map2k1",2
"clusterProfiler","Gene Ontology (BP)","GO:0032386","regulation of intracellular transport",307,4,0.54,0.00198500991030196,0.0435534527378017,0.031260321188037,"Pkig/Pkia/Map2k1/Ywhae",4
"clusterProfiler","Gene Ontology (BP)","GO:0022037","metencephalon development",146,3,0.26,0.0021134439205293,0.0446537497682072,0.0320500550991412,"Prox1/Cntnap2/Map2k1",3
"clusterProfiler","Gene Ontology (BP)","GO:0140058","neuron projection arborization",39,2,0.07,0.00211722776928612,0.0446537497682072,0.0320500550991412,"Ntng1/Cntnap2",2
"clusterProfiler","Gene Ontology (BP)","GO:0021782","glial cell development",147,3,0.26,0.00215487264296978,0.0446537497682072,0.0320500550991412,"Cntnap2/Tenm4/Map2k1",3
"clusterProfiler","Gene Ontology (BP)","GO:0046822","regulation of nucleocytoplasmic transport",148,3,0.26,0.00219680437431131,0.0446949835428065,0.0320796504803738,"Pkig/Pkia/Ywhae",3
"clusterProfiler","Gene Ontology (BP)","GO:1902414","protein localization to cell junction",153,3,0.27,0.00241408287498266,0.0481359552554633,0.0345493945345172,"Olfm1/C1ql2/Map2k1",3
"clusterProfiler","Gene Ontology (BP)","GO:0048741","skeletal muscle fiber development",42,2,0.07,0.00245196554920591,0.0481359552554633,0.0345493945345172,"Ppp3ca/Cntnap2",2
"clusterProfiler","Gene Ontology (BP)","GO:0021537","telencephalon development",329,4,0.57,0.00255025908447627,0.049202412336706,0.0353148399538184,"Prox1/Nrgn/Ywhae/Btbd3",4
"clusterProfiler","Gene Ontology (BP)","GO:0055078","sodium ion homeostasis",44,2,0.08,0.00268809019271515,0.0493110315680041,0.0353928009843254,"Atp1a1/Slc8a1",2
"clusterProfiler","Gene Ontology (BP)","GO:0099149","regulation of postsynaptic neurotransmitter receptor internalization",44,2,0.08,0.00268809019271515,0.0493110315680041,0.0353928009843254,"Gsg1l/Ncdn",2
"clusterProfiler","Gene Ontology (BP)","GO:1902683","regulation of receptor localization to synapse",44,2,0.08,0.00268809019271515,0.0493110315680041,0.0353928009843254,"Olfm1/Map2k1",2
